,,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
215,Kennesaw State,CUSA,,,8,5,66.8,58.8,8.00,,-2.71,,-3.63,-2.47,-6.11,87.50,96.43,-8.93
216,Boston College,ACC,,,4,13,64.1,72.2,-8.12,,1.96,,-0.58,-5.57,-6.15,89.39,99.41,-10.03
217,Delaware,CUSA,,,6,8,67.5,66.4,1.14,,-5.58,,-1.92,-4.28,-6.19,84.29,94.08,-9.79
218,Northern Arizona,Big Sky,,,5,10,73.7,75.3,-1.53,,1.86,,4.73,-11.02,-6.29,92.49,102.03,-9.54
219,Stephen F. Austin,Southland,,,9,5,75.7,69.9,5.86,,-7.34,,5.39,-11.72,-6.34,89.96,99.48,-9.52
220,Nevada,MWC,,,5,9,54.1,57.9,-3.71,,-1.09,,-12.21,5.81,-6.40,77.74,88.21,-10.46
221,Towson,CAA,,,8,5,71.5,70.3,1.23,,-2.54,,2.43,-8.89,-6.46,89.41,99.21,-9.79
222,Campbell,CAA,,,8,7,65.9,57.5,8.40,,-6.90,,-8.29,1.70,-6.60,85.76,95.82,-10.06
223,Morehead State,OVC,,,7,8,65.7,68.9,-3.20,,2.47,,-3.19,-3.42,-6.60,85.57,95.57,-10.00
224,Loyola (IL),A-10,,,4,10,52.6,62.9,-10.36,,3.56,,-11.25,4.45,-6.80,79.24,90.89,-11.65
225,Fordham,A-10,,,8,6,67.4,63.4,3.93,,-10.46,,-1.46,-5.46,-6.92,85.04,96.09,-11.04
226,William & Mary,CAA,,,8,5,64.1,63.7,0.38,,-5.85,,-4.19,-2.82,-7.01,87.36,98.27,-10.92
227,DePaul,Big East,,,3,14,60.4,72.1,-11.71,,4.63,,-3.74,-3.34,-7.08,82.50,93.29,-10.79
228,Utah State,MWC,,,6,7,62.2,64.5,-2.31,,-0.43,,-5.66,-1.85,-7.51,84.70,96.03,-11.34
229,Monmouth,CAA,,,9,4,66.5,58.7,7.85,,-5.62,,-6.11,-1.41,-7.52,82.46,95.15,-12.69
230,Wofford,Southern,,,6,8,70.8,64.0,6.79,,-1.93,,-4.94,-2.63,-7.57,87.94,99.40,-11.46
231,Eastern Washington,Big Sky,,,7,7,68.5,67.4,1.14,,-1.00,,-0.90,-6.84,-7.75,84.87,96.54,-11.67
232,Elon,CAA,,,6,8,64.9,62.4,2.50,,-5.76,,-6.50,-1.26,-7.76,82.87,94.02,-11.15
233,Siena,MAAC,,,6,7,68.5,63.5,4.92,,-12.85,,-0.21,-7.71,-7.93,78.61,94.80,-16.19
234,Memphis,American,,,6,9,65.9,69.4,-3.47,,-1.11,,-3.28,-4.69,-7.97,77.73,89.00,-11.27
235,Tennessee-Martin,OVC,,,7,6,68.9,63.6,5.31,,-3.38,,-5.05,-3.23,-8.28,83.80,96.94,-13.14
236,Florida Atlantic,American,,,6,8,62.2,67.1,-4.86,,0.24,,-5.30,-3.00,-8.30,83.43,96.60,-13.17
237,Pittsburgh,ACC,,,8,9,62.4,64.7,-2.35,,-6.18,,-6.10,-2.21,-8.31,82.80,95.88,-13.08
238,Weber State,Big Sky,,,6,9,64.7,64.7,-0.07,,1.31,,-4.84,-3.52,-8.36,84.50,97.02,-12.52
239,Tarleton State,WAC,,,7,7,67.1,66.8,0.29,,-2.41,,-4.44,-3.98,-8.41,84.22,96.23,-12.01
240,Wichita State,American,,,3,12,60.3,63.6,-3.33,,-1.10,,-9.74,1.21,-8.53,78.63,91.53,-12.90
241,Mercer,Southern,,,10,5,65.7,59.9,5.80,,-10.37,,-6.35,-2.33,-8.68,81.26,94.51,-13.25
242,Montana,Big Sky,,,3,10,64.2,74.2,-9.92,,5.13,,-0.03,-8.68,-8.71,92.77,106.34,-13.57
243,Kansas City,Summit,,,4,11,71.6,68.7,2.87,,2.65,,-3.34,-5.68,-9.02,88.37,102.87,-14.50
244,Wyoming,MWC,,,4,9,53.5,60.2,-6.62,,1.22,,-12.15,3.12,-9.03,82.61,98.18,-15.57
245,Georgia State,Sun Belt,,,6,10,69.6,73.9,-4.31,,1.49,,0.60,-9.68,-9.08,87.21,101.13,-13.92
246,Maryland-Baltimore County,AmEast,,,5,8,68.0,61.2,6.77,,-5.94,,-6.86,-2.26,-9.12,82.24,96.22,-13.97
247,Robert Morris,Horizon,,,10,4,64.1,57.5,6.64,,-10.43,,-9.46,0.28,-9.18,81.72,95.76,-14.04
248,UNC Greensboro,Southern,,,10,5,69.1,52.2,16.93,,-6.02,,-11.84,2.64,-9.20,83.59,97.62,-14.03
249,Mount St. Mary's,MAAC,,,6,7,60.7,62.5,-1.85,,-7.41,,-9.25,-0.01,-9.26,77.68,92.12,-14.45
250,Maryland-Eastern Shore,MEAC,,,8,10,63.6,68.7,-5.11,,0.72,,-4.59,-4.75,-9.35,83.55,98.12,-14.56
251,Chattanooga,Southern,,,8,5,67.0,62.8,4.15,,-5.31,,-5.82,-3.58,-9.40,86.65,100.48,-13.83
252,Jacksonville State,CUSA,,,7,7,65.9,57.3,8.57,,-7.41,,-8.40,-1.02,-9.41,86.58,100.24,-13.66
253,St. Bonaventure,A-10,,,10,5,66.3,60.6,5.67,,-12.10,,-6.52,-2.93,-9.45,84.81,99.08,-14.28
254,IU Indy,Horizon,,,5,9,66.9,67.7,-0.79,,-2.37,,-5.35,-4.18,-9.53,80.40,94.38,-13.98
255,East Tennessee State,Southern,,,7,8,56.5,59.0,-2.53,,-1.77,,-12.05,2.51,-9.54,79.41,93.61,-14.20
256,San Diego,WCC,,,6,11,56.0,60.7,-4.71,,-0.34,,-11.76,2.11,-9.65,78.45,93.46,-15.01
257,Radford,Big South,,,9,8,65.4,61.6,3.82,,-8.76,,-7.61,-2.48,-10.09,78.94,93.80,-14.87
258,Texas State,Sun Belt,,,6,7,63.9,61.8,2.15,,-4.70,,-7.52,-2.64,-10.16,81.67,96.23,-14.56
259,West Georgia,A-Sun,,,8,5,73.6,64.0,9.62,,-10.07,,-1.26,-9.27,-10.53,88.12,103.36,-15.24
260,Merrimack,MAAC,,,6,7,68.0,67.6,0.38,,-6.72,,-1.67,-8.88,-10.55,82.70,98.59,-15.89
261,Incarnate Word,Southland,,,6,6,61.8,70.4,-8.67,,2.68,,-5.29,-5.53,-10.82,87.39,102.68,-15.29
262,North Carolina A&T,CAA,,,5,8,62.1,61.8,0.31,,7.99,,-8.98,-2.04,-11.01,78.60,94.84,-16.24
263,Stony Brook,CAA,,,6,9,58.7,58.5,0.20,,-2.67,,-14.57,3.48,-11.08,74.42,92.40,-17.98
264,Texas-Rio Grande Valley,Southland,,,6,8,66.1,70.7,-4.64,,1.79,,-3.05,-8.25,-11.30,84.83,100.31,-15.49
265,Jackson State,SWAC,,,2,11,61.1,71.0,-9.92,,5.54,,-6.90,-4.73,-11.63,82.55,100.12,-17.57
266,Norfolk State,MEAC,,,6,10,59.9,63.4,-3.56,,5.85,,-12.05,0.31,-11.74,74.50,92.15,-17.65
267,Oakland,Horizon,,,4,10,61.1,72.8,-11.64,,5.26,,-3.75,-7.99,-11.74,85.57,102.79,-17.22
268,Alabama A&M,SWAC,,,5,9,60.4,63.9,-3.50,,2.80,,-9.74,-2.18,-11.93,78.91,96.24,-17.33
269,Utah Tech,WAC,,,5,7,64.5,69.3,-4.83,,-5.84,,-5.93,-6.18,-12.11,78.38,95.77,-17.39
270,Cal State Bakersfield,Big West,,,5,9,61.5,67.6,-6.14,,-4.74,,-6.98,-5.30,-12.28,80.79,98.34,-17.55
271,SIU Edwardsville,OVC,,,8,6,63.3,57.1,6.14,,-7.74,,-13.64,1.35,-12.29,77.06,95.60,-18.54
272,East Texas A&M,Southland,,,6,6,68.5,68.3,0.17,,-2.10,,-6.98,-5.32,-12.30,82.07,98.89,-16.81
273,Southeast Missouri State,OVC,,,5,8,70.2,68.4,1.77,,-4.31,,-3.34,-8.97,-12.31,82.15,99.61,-17.45
274,New Mexico State,CUSA,,,5,9,57.6,65.1,-7.50,,2.04,,-8.78,-3.55,-12.33,76.84,94.65,-17.81
275,Western Michigan,MAC,,,4,8,57.1,70.3,-13.17,,0.90,,-9.23,-3.14,-12.37,79.23,96.64,-17.41
276,Denver,Summit,,,7,8,60.6,64.6,-4.00,,-0.93,,-12.26,-0.18,-12.43,77.54,97.09,-19.54
277,Detroit Mercy,Horizon,,,4,10,62.8,71.3,-8.50,,-3.80,,-6.11,-6.38,-12.49,80.96,99.07,-18.11
278,Loyola (MD),Patriot,,,5,8,55.9,63.4,-7.46,,-5.06,,-12.05,-0.48,-12.53,80.98,100.85,-19.88
279,Nicholls State,Southland,,,7,5,66.2,63.8,2.42,,-11.08,,-9.27,-3.45,-12.72,79.00,96.42,-17.42
280,Coppin State,MEAC,,,3,13,54.2,71.1,-16.94,,7.31,,-11.47,-1.49,-12.96,74.23,92.01,-17.78
281,New Hampshire,AmEast,,,6,9,59.9,61.7,-1.73,,-4.29,,-8.16,-4.83,-12.98,82.97,103.16,-20.18
282,Furman,Southern,,,8,7,73.3,63.7,9.53,,-1.17,,-3.35,-9.64,-12.99,79.38,97.21,-17.82
283,Long Island University,NEC,,,7,6,68.4,58.6,9.77,,-13.83,,-6.57,-6.53,-13.11,79.60,99.65,-20.06
284,North Alabama,A-Sun,,,5,8,61.5,64.2,-2.69,,-4.29,,-9.57,-3.54,-13.11,77.25,96.78,-19.53
285,Marist,MAAC,,,5,9,59.4,70.4,-11.00,,-2.32,,-5.57,-7.74,-13.32,83.11,103.31,-20.20
286,Hofstra,CAA,,,3,10,54.0,66.9,-12.92,,3.65,,-11.87,-1.48,-13.35,79.09,100.28,-21.20
287,Dartmouth,Ivy,,,9,5,61.1,54.3,6.86,,-8.84,,-14.69,1.22,-13.48,80.04,101.37,-21.33
288,Bucknell,Patriot,,,4,9,55.6,58.8,-3.23,,-3.72,,-14.41,0.86,-13.55,75.94,97.20,-21.26
289,Lafayette,Patriot,,,5,8,62.6,63.8,-1.23,,-12.32,,-7.00,-6.55,-13.55,82.98,103.06,-20.08
290,Akron,MAC,,,3,11,71.9,76.4,-4.50,,1.51,,-0.65,-12.93,-13.57,85.79,104.97,-19.18
291,Alcorn State,SWAC,,,4,8,53.9,66.6,-12.67,,12.32,,-14.22,0.65,-13.57,73.64,95.42,-21.78
292,Yale,Ivy,,,4,9,60.1,67.2,-7.08,,-6.68,,-7.48,-6.27,-13.76,77.95,98.60,-20.66
293,Iona,MAAC,,,8,7,59.5,61.9,-2.33,,-10.36,,-9.44,-4.49,-13.93,79.30,100.27,-20.97
294,Milwaukee,Horizon,,,5,11,60.0,65.1,-5.13,,-4.61,,-8.92,-5.34,-14.26,80.69,102.19,-21.50
295,Portland State,Big Sky,,,5,9,66.1,73.0,-6.93,,-4.03,,-2.60,-11.74,-14.34,85.68,106.74,-21.06
296,Evansville,MVC,,,3,11,62.7,74.4,-11.64,,-2.79,,-5.51,-8.93,-14.43,81.66,101.52,-19.86
297,Buffalo,MAC,,,2,11,57.2,67.8,-10.62,,-4.04,,-10.50,-4.15,-14.65,72.96,93.77,-20.81
298,Cal State Northridge,Big West,,,5,8,67.5,67.2,0.38,,-1.20,,-7.14,-7.52,-14.66,78.00,98.17,-20.17
299,Hampton,CAA,,,7,7,64.6,60.6,4.00,,-9.03,,-8.64,-6.03,-14.66,79.95,101.60,-21.65
300,Houston Christian,Southland,,,4,8,64.0,69.2,-5.17,,-0.60,,-8.78,-6.32,-15.10,77.74,100.09,-22.35
301,Northeastern,CAA,,,4,8,60.6,67.5,-6.92,,-8.32,,-8.07,-7.17,-15.24,80.98,103.90,-22.92
302,Boston University,Patriot,,,4,9,56.5,59.9,-3.46,,-5.65,,-13.41,-1.91,-15.32,78.46,103.17,-24.71
303,Western Kentucky,CUSA,,,4,9,57.9,65.2,-7.23,,-3.51,,-12.26,-3.08,-15.35,78.12,101.51,-23.39
304,Samford,Southern,,,7,10,59.8,68.5,-8.65,,1.64,,-8.32,-7.19,-15.51,83.27,107.26,-23.99
305,Wright State,Horizon,,,6,10,67.6,69.4,-1.75,,-5.88,,-6.61,-9.34,-15.95,81.38,104.77,-23.39
306,Cornell,Ivy,,,5,8,52.6,61.2,-8.62,,-7.48,,-16.87,0.78,-16.09,77.90,103.47,-25.56
307,Sacred Heart,MAAC,,,6,8,58.1,62.9,-4.79,,-10.21,,-12.29,-4.00,-16.29,76.49,101.05,-24.57
308,San Jose State,MWC,,,2,13,57.4,72.1,-14.73,,2.02,,-8.43,-8.41,-16.83,76.15,99.54,-23.39
309,Manhattan,MAAC,,,1,12,51.4,69.5,-18.08,,1.20,,-13.33,-3.55,-16.88,71.81,95.88,-24.07
310,Eastern Illinois,OVC,,,1,14,56.5,75.0,-18.53,,1.52,,-10.34,-6.68,-17.01,75.78,99.39,-23.61
311,Colgate,Patriot,,,5,8,56.3,68.8,-12.54,,-1.83,,-11.21,-5.95,-17.17,77.03,103.26,-26.23
312,Winthrop,Big South,,,8,8,65.1,67.4,-2.31,,-2.63,,-7.57,-9.75,-17.33,80.97,105.13,-24.16
313,American,Patriot,,,3,10,55.6,65.7,-10.08,,-7.42,,-11.54,-5.96,-17.50,78.35,105.86,-27.51
314,Southern Illinois,MVC,,,3,10,62.5,70.8,-8.31,,-1.19,,-8.22,-9.33,-17.55,79.95,105.42,-25.47
315,Indiana State,MVC,,,5,9,72.1,80.0,-7.86,,-5.22,,2.48,-20.17,-17.69,84.15,107.07,-22.92
316,Charleston Southern,Big South,,,4,11,59.0,73.7,-14.67,,-0.71,,-8.99,-8.93,-17.93,81.06,107.91,-26.86
317,Louisiana,Sun Belt,,,1,13,59.4,72.9,-13.43,,0.25,,-12.01,-6.16,-18.17,73.49,98.31,-24.82
318,North Florida,A-Sun,,,5,8,61.0,74.5,-13.54,,-1.18,,-7.79,-10.93,-18.72,79.65,105.84,-26.19
319,Lipscomb,A-Sun,,,4,9,62.8,66.3,-3.46,,-7.30,,-13.19,-5.84,-19.03,73.99,101.36,-27.38
320,Northern Illinois,MAC,,,2,11,54.2,69.8,-15.62,,-3.47,,-15.38,-3.71,-19.08,73.22,101.25,-28.03
321,Alabama State,SWAC,,,5,8,57.2,73.5,-16.31,,6.01,,-11.67,-7.52,-19.19,71.37,96.74,-25.37
322,Gardner-Webb,Big South,,,4,11,55.6,66.3,-10.67,,-8.65,,-13.13,-6.18,-19.31,77.50,105.70,-28.21
323,Grambling,SWAC,,,4,11,64.7,68.4,-3.67,,-0.86,,-9.30,-10.06,-19.36,74.59,101.42,-26.84
324,Wagner,NEC,,,6,7,56.6,60.8,-4.23,,-6.27,,-16.97,-2.39,-19.36,66.70,94.74,-28.04
325,North Carolina Central,MEAC,,,3,11,59.9,75.5,-15.57,,2.08,,-8.69,-10.85,-19.54,72.40,97.32,-24.92
326,Texas A&M-Corpus Christi,Southland,,,2,10,59.3,69.5,-10.25,,-2.36,,-15.12,-4.78,-19.90,74.33,103.12,-28.79
327,North Dakota,Summit,,,3,12,57.2,69.5,-12.27,,-0.66,,-11.29,-8.76,-20.04,71.39,98.32,-26.93
328,New Haven,NEC,,,4,9,60.2,60.1,0.15,,-10.68,,-16.19,-3.86,-20.05,73.89,104.82,-30.93
329,Cal Poly,Big West,,,3,11,58.1,73.1,-14.93,,4.69,,-6.63,-13.43,-20.06,80.76,109.35,-28.59
330,Massachusetts-Lowell,AmEast,,,6,9,61.7,62.5,-0.80,,-9.99,,-11.60,-8.89,-20.49,79.47,111.19,-31.73
331,Rider,MAAC,,,2,12,54.5,67.6,-13.07,,-7.51,,-15.06,-5.52,-20.58,74.26,104.93,-30.67
332,UNC Wilmington,CAA,,,5,8,63.5,70.0,-6.54,,-10.45,,-9.39,-11.40,-20.78,77.14,106.43,-29.28
333,Texas Southern,SWAC,,,5,9,66.8,76.1,-9.29,,9.77,,-6.88,-14.06,-20.93,77.05,103.72,-26.67
334,Long Beach State,Big West,,,1,12,50.5,73.5,-23.00,,4.02,,-14.50,-6.90,-21.40,70.92,101.92,-31.00
335,Canisius,MAAC,,,2,11,55.4,73.9,-18.54,,-3.56,,-12.53,-9.57,-22.10,75.17,107.71,-32.54
336,Seattle,WCC,,,4,11,65.1,75.2,-10.13,,-3.27,,-8.64,-13.63,-22.27,77.40,108.61,-31.22
337,Stonehill,NEC,,,4,9,59.8,69.4,-9.62,,-8.13,,-9.74,-12.55,-22.29,79.42,110.98,-31.56
338,UNC Asheville,Big South,,,5,10,63.4,60.3,3.07,,-11.79,,-16.00,-6.29,-22.29,67.98,99.42,-31.44
339,Tennessee State,OVC,,,2,11,59.3,79.2,-19.92,,-2.70,,-6.71,-15.92,-22.63,77.03,107.53,-30.50
340,Queens (NC),A-Sun,,,7,6,62.7,66.0,-3.31,,-10.39,,-12.97,-9.69,-22.66,74.12,103.43,-29.31
341,Western Carolina,Southern,,,3,11,60.2,67.1,-6.86,,-2.23,,-14.98,-7.70,-22.69,71.13,104.29,-33.16
342,Southeastern Louisiana,Southland,,,2,10,60.3,82.5,-22.17,,6.27,,-9.71,-13.29,-23.00,80.26,113.44,-33.19
343,Delaware State,MEAC,,,3,13,53.3,66.3,-13.06,,-2.00,,-18.23,-5.38,-23.61,66.46,101.21,-34.76
344,South Carolina Upstate,Big South,,,5,11,58.5,65.1,-6.56,,-3.84,,-16.52,-7.25,-23.76,68.63,105.02,-36.39
345,Morgan State,MEAC,,,1,16,51.6,75.8,-24.18,,5.12,,-14.71,-9.10,-23.81,71.94,108.25,-36.31
346,New Orleans,Southland,,,0,13,63.3,87.4,-24.08,,1.15,,-3.95,-20.31,-24.27,77.32,108.48,-31.17
347,Chicago State,NEC,,,1,14,56.4,79.0,-22.60,,-1.86,,-10.42,-14.04,-24.46,73.38,106.23,-32.85
348,Arkansas-Pine Bluff,SWAC,,,3,9,54.0,73.8,-19.83,,-0.43,,-14.40,-10.76,-25.16,72.15,107.50,-35.35
349,Bethune-Cookman,SWAC,,,3,11,55.7,73.9,-18.21,,0.00,,-17.07,-8.29,-25.37,67.99,103.36,-35.37
350,Mercyhurst,NEC,,,1,12,55.2,82.5,-27.31,,0.56,,-9.88,-16.87,-26.75,76.46,114.92,-38.47
351,Omaha,Summit,,,2,15,54.6,78.4,-23.71,,3.09,,-14.70,-12.41,-27.12,71.03,109.98,-38.94
352,Bellarmine,A-Sun,,,2,13,55.2,81.0,-25.80,,2.21,,-12.41,-14.87,-27.29,72.85,109.54,-36.69
353,Florida A&M,SWAC,,,1,11,54.9,77.7,-22.75,,-2.12,,-14.60,-12.88,-27.48,69.80,106.19,-36.39
354,Saint Peter's,MAAC,,,3,11,49.7,64.7,-15.00,,-7.35,,-21.85,-5.65,-27.51,65.61,107.75,-42.14
355,South Carolina State,MEAC,,,3,13,58.2,68.9,-10.69,,-5.75,,-17.22,-10.32,-27.54,68.35,107.59,-39.25
356,Prairie View,SWAC,,,2,11,56.3,82.0,-25.69,,4.42,,-9.38,-18.38,-27.76,71.82,106.37,-34.55
357,Central Connecticut State,NEC,,,0,13,49.8,73.8,-24.00,,-5.55,,-16.93,-12.62,-29.55,66.97,109.24,-42.27
358,Le Moyne,NEC,,,3,12,55.2,79.1,-23.87,,-4.03,,-12.71,-17.75,-30.46,74.99,120.33,-45.33
359,Valparaiso,MVC,,,0,15,53.2,79.0,-25.80,,-4.88,,-14.87,-15.81,-30.68,65.30,105.34,-40.04
360,Saint Francis (PA),NEC,,,0,13,52.6,74.0,-21.38,,-7.95,,-15.56,-15.39,-30.95,68.20,112.26,-44.06
361,Mississippi Valley State,SWAC,,,2,11,53.3,89.4,-36.08,,1.68,,-12.09,-22.31,-34.40,68.75,112.63,-43.88
362,Presbyterian,Big South,,,2,13,54.9,74.0,-19.13,,-6.13,,-20.55,-15.66,-36.21,63.44,113.96,-50.52
363,Niagara,MAAC,,,0,13,51.8,86.5,-34.77,,-4.65,,-16.34,-23.08,-39.42,63.21,113.66,-50.45
